"workload","n","cache","elapsed_s","plan_calls","note"
"corpus_open_quick",NA,NA,2.0671,0,""
"corpus_open_rebuild",NA,NA,1.7026,0,""
"query_collect_223",223,NA,0.0106,0,""
"query_eager_223",223,NA,0.0094,0,""
"scout_223",223,NA,0.2813,0,""
"quantify_seq_5_cold",5,"off",0.3548,0,""
"quantify_seq_50_cold",50,"off",0.8464,0,""
"quantify_seq_150_cold",150,"off",2.6254,0,""
"quantify_cached_5_cold",5,"cold",0.0741,0,""
"quantify_cached_5_warm",5,"warm",0.0685,0,""
"quantify_cached_50_cold",50,"cold",0.7205,0,""
"quantify_cached_50_warm",50,"warm",0.7367,0,""
"quantify_cached_150_cold",150,"cold",2.3557,0,""
"quantify_cached_150_warm",150,"warm",0.0906,0,""
"quantify_par_50",50,"off",NA,NA,"ERROR: Item 1 of input is not a data.frame, data.table or list"
"quantify_par_150",150,"off",2.2014,0,""
