"workload","n","cache","elapsed_s","plan_calls","note"
"corpus_open_quick",NA,NA,3.2732,18,""
"corpus_open_rebuild",NA,NA,0.4755,16,""
"query_collect_223",223,NA,0.0101,0,""
"query_eager_223",223,NA,0.009,0,""
"scout_223",223,NA,0.253,0,""
"quantify_seq_5_cold",5,"off",0.3693,0,""
"quantify_seq_50_cold",50,"off",0.7236,0,""
"quantify_seq_150_cold",150,"off",2.2183,0,""
"quantify_cached_5_cold",5,"cold",0.146,0,""
"quantify_cached_5_warm",5,"warm",0.0138,0,""
"quantify_cached_50_cold",50,"cold",0.6663,0,""
"quantify_cached_50_warm",50,"warm",0.0458,0,""
"quantify_cached_150_cold",150,"cold",1.6198,0,""
"quantify_cached_150_warm",150,"warm",0.1329,0,""
"quantify_par_50",50,"off",2.2615,12,""
"quantify_par_150",150,"off",2.0384,0,""
